,County,indicator,value
0,BARINGO,Conventional Households,"141,877"
1,BOMET,Conventional Households,"187,230"
2,BUNGOMA,Conventional Households,"357,714"
3,BUSIA,Conventional Households,"197,944"
4,ELGEYO/MARAKWET,Conventional Households,"99,119"
5,EMBU,Conventional Households,"182,427"
6,GARISSA,Conventional Households,"138,940"
7,HOMA BAY,Conventional Households,"260,290"
8,ISIOLO,Conventional Households,"53,217"
9,KAJIADO,Conventional Households,"313,218"
10,KAKAMEGA,Conventional Households,"432,284"
11,KERICHO,Conventional Households,"205,932"
12,KIAMBU,Conventional Households,"792,333"
13,KILIFI,Conventional Households,"297,990"
14,KIRINYAGA,Conventional Households,"203,576"
15,KISII,Conventional Households,"307,254"
16,KISUMU,Conventional Households,"296,846"
17,KITUI,Conventional Households,"261,814"
18,KWALE,Conventional Households,"172,802"
19,LAIKIPIA,Conventional Households,"145,776"
20,LAMU,Conventional Households,"34,231"
21,MACHAKOS,Conventional Households,"399,523"
22,MAKUENI,Conventional Households,"243,979"
23,MANDERA,Conventional Households,"123,954"
24,MARSABIT,Conventional Households,"76,689"
25,MERU,Conventional Households,"423,931"
26,MIGORI,Conventional Households,"238,133"
27,MOMBASA,Conventional Households,"376,295"
28,MURANG'A,Conventional Households,"317,496"
29,NAIROBI CITY,Conventional Households,"1,494,676"
30,NAKURU,Conventional Households,"598,237"
31,NANDI,Conventional Households,"199,040"
32,NAROK,Conventional Households,"238,115"
33,NYAMIRA,Conventional Households,"150,499"
34,NYANDARUA,Conventional Households,"178,224"
35,NYERI,Conventional Households,"244,564"
36,SAMBURU,Conventional Households,"63,951"
37,SIAYA,Conventional Households,"249,341"
38,TAITA/TAVETA,Conventional Households,"94,468"
39,TANA RIVER,Conventional Households,"66,984"
40,THARAKA-NITHI,Conventional Households,"109,450"
41,TRANS NZOIA,Conventional Households,"222,989"
42,TURKANA,Conventional Households,"162,627"
43,UASIN GISHU,Conventional Households,"301,110"
44,VIHIGA,Conventional Households,"143,288"
45,WAJIR,Conventional Households,"126,878"
46,WEST POKOT,Conventional Households,"115,761"
47,BARINGO,Main Sewer,0.3
48,BOMET,Main Sewer,0.3
49,BUNGOMA,Main Sewer,1.0
50,BUSIA,Main Sewer,0.6
51,ELGEYO/MARAKWET,Main Sewer,0.3
52,EMBU,Main Sewer,2.2
53,GARISSA,Main Sewer,5.2
54,HOMA BAY,Main Sewer,1.1
55,ISIOLO,Main Sewer,4.0
56,KAJIADO,Main Sewer,2.8
57,KAKAMEGA,Main Sewer,0.8
58,KERICHO,Main Sewer,1.7
59,KIAMBU,Main Sewer,9.1
60,KILIFI,Main Sewer,2.4
61,KIRINYAGA,Main Sewer,0.7
